"rent_station_name","rent_station_no","cnt_day","cnt_per_day","return_rate","bw_rate","weekend_rate","avg_distance","avg_used_time","avg_user_age","morning_ratio","evening_ratio","peak_ratio","variance_norm","entropy"
응암역2번출구 국민은행 앞,996,365,100.71232876712328,1.4149347116430904,0.03329706202393906,0.12886289445048965,2637.998264417851,23.135310119695323,37.559400087124274,0.10625680087051143,0.26373775843307945,0.10443416757344941,0.0007562275491514,2.934190074330535
중화역 2번출구,1433,365,42.56712328767123,1.1190062431614856,0.03282486966595868,0.12505631717834845,2015.5584430713793,19.684044538842763,32.57556486607811,0.08379996138250628,0.2035785544184849,0.08688936088047886,0.000569886069563,3.0026049417184204
을지로입구역 2번출구,433,360,56.230555555555554,0.9109815738773898,0.027565084226646247,0.08521464209850318,2072.1458622733785,20.92580151163365,38.73540393754243,0.21859408190485602,0.2523835399891321,0.13056365163266315,0.0011124490935045884,2.8433292057048734
강북중학교 앞,1512,365,51.8054794520548,1.0133269871489767,0.030990533608334654,0.1330054471415728,3168.679474324395,24.618594320165002,36.62312985291332,0.18282299434131893,0.19503939922788088,0.07192342270876302,0.0004654138682526,3.018396211481288
송파여성문화회관 앞,1262,365,71.41917808219178,1.0042580942151296,0.03383458646616541,0.11792235691268989,1983.0339830443465,20.631463863740986,36.63240753164274,0.20009206690194872,0.2068052785023784,0.07971459260395888,0.0004456410868267,3.032918191830467
가락2동주민센터 인근,4458,365,14.095890410958905,0.9611273080660836,0.03848396501457726,0.11059280855199223,1911.2573138969865,16.48765792031098,37.775920487915066,0.22254616132167152,0.19611273080660838,0.09271137026239067,0.0005010629940347,3.039623111776131
구일우성(아) 육교 밑,1907,365,46.18630136986302,0.9794756198837348,0.048463637442163955,0.11027405386166805,2020.9707913156947,16.848973780994186,36.42165665293999,0.3325424130976391,0.16947443350338118,0.1727369794756199,0.0013532729790146113,2.873202897662864
녹천역 1번출구 앞,1702,365,18.71232876712329,1.121229868228404,0.032210834553440704,0.13133235724743778,2200.035503660322,20.022108345534406,37.93946689595873,0.22313323572474378,0.18301610541727673,0.12196193265007321,0.0007929749623726,2.927769932173188
뚝섬역 6번출구,3548,365,66.85753424657534,0.9027168790722452,0.03401221161332623,0.10814244150309388,2294.1084559275523,23.92697619145187,35.463497372193025,0.17145432938573127,0.25226406589353767,0.12871368274392492,0.0009375832453841,2.8941725053341356
대치동 삼성로,2326,363,17.608815426997246,0.6140488110137672,0.037077596996245306,0.1296933667083855,2229.5342099499367,20.497809762202753,37.734780994803266,0.0987171464330413,0.2418648310387985,0.11091989987484356,0.0008613493473886,2.923875510712704
중화동 우리은행 앞,1470,365,36.78630136986301,1.0500484099203098,0.03128025620019364,0.1222909063826618,2081.8436717062646,18.988828479928504,35.00764286955011,0.17017948908914873,0.20771579652938107,0.08706337975720563,0.0005194789555478,3.014562640929914
넥센 유니버시티 앞,2729,365,57.99452054794521,1.0428949357520787,0.03330498866213152,0.05952380952380952,2066.1781198034782,16.370701058201057,35.89499052261034,0.08956916099773243,0.327286470143613,0.18287037037037038,0.0017662347261452943,2.747131991656118
한성백제역 1번출구 뒤,4865,365,96.64383561643835,1.0039121190644933,0.035095676824946846,0.12277817150956769,2149.083110134658,20.859277108433734,35.85255834829444,0.20805102763997166,0.21856839121190647,0.10701630049610206,0.0006104008465875,2.9974559897670394
북위례3,5778,360,13.675,0.4592728011375178,0.04143814747105423,0.1545805403209425,2313.6599837497465,16.994921795653056,41.377103579047166,0.13731464554133657,0.17814340849075766,0.07982937233394272,0.0003013511898664,3.078333101673428
강서초등학교,745,364,17.453296703296704,1.1172674327089565,0.03541633873760428,0.11805446245868094,1915.1207287895484,17.297497245395874,39.31178564736744,0.24696993546356055,0.1969148433810798,0.12970250275460413,0.0009720729584933,2.897217602597526
강서면허시험장 앞,1161,364,12.447802197802197,0.6404767159567425,0.03442948576473185,0.07216949900684176,1753.4804877510478,15.001544912822776,38.713844570252185,0.07812844846612227,0.16354005738247626,0.09401898035753697,0.0008957639161559,2.894666642412062
강동리버스트7단지,3674,363,10.316804407713498,1.088384512683578,0.04165554072096128,0.1020026702269693,2856.241671562083,23.697730307076103,45.415708182714425,0.24218958611481978,0.13190921228304406,0.08331108144192256,0.0004528124974624,3.046553720335777
삼성생명 앞,4135,365,71.96712328767123,1.0333104918532054,0.037003197807217905,0.13400335008375208,2184.051945332723,21.106936196132175,40.87936078243025,0.15570275620526874,0.20268006700167504,0.09079488350845134,0.0005682288224797,3.001300597906652
고투몰 gate 15옆,4307,364,17.917582417582416,1.2781355412450168,0.03296534805274456,0.130328120208525,2474.8525467647955,23.394050904630483,38.23909316060202,0.17325973627721558,0.17755289788408463,0.08356332413370132,0.0005751714418459,2.9744844534687926
독산역 1번출구 A,1833,365,24.75890410958904,1.0542215336948102,0.056434657519088195,0.09427907491424145,1443.5804780347457,13.635055881376562,37.46969696969697,0.31304636494411864,0.15193095053668254,0.18645568219541883,0.0013522883490616948,2.868255066328671
올림픽공원 남2문 앞,1267,364,36.76373626373626,0.9414138394858765,0.0302645344492602,0.13861904050216708,2386.2085353459875,25.655806306979525,37.7986642920748,0.16836048423255118,0.18592138693767746,0.09176505753997907,0.0006014010957723,2.975738074239502
송파역 2번 출구앞,1212,365,42.5972602739726,1.0583354772317983,0.03608181116542321,0.10174942114741446,1804.5630885001285,17.379727296115256,36.42463069038288,0.18947774633393363,0.25,0.10805248263442244,0.0009317166748587,2.8896673701467708
봉천역 2번출구,2169,365,37.04109589041096,1.1386834319526626,0.033579881656804735,0.12285502958579882,1929.9850044378677,18.475443786982247,34.616325445360275,0.11834319526627218,0.21316568047337275,0.07366863905325444,0.0003932448798673,3.0570993321492708
서울시 도로환경관리센터,731,365,93.6986301369863,1.0397076023391814,0.035380116959064324,0.14181286549707603,2359.775773684209,20.783099415204678,38.693542328313356,0.11093567251461989,0.26514619883040935,0.1286549707602339,0.0009173472179474,2.8894665914107827
겸재정선미술관,3782,365,56.07397260273972,0.9325255289001808,0.03703522743929252,0.10353251575707235,2271.5186788488804,16.424243904822397,36.495657078398196,0.27820393804661164,0.2201592807934724,0.13358088630478332,0.001085993053863169,2.8571221002440805
가락몰 업무동,2658,360,47.19722222222222,1.0234241657348009,0.044788417397445705,0.10358425048555117,2039.135743628978,18.479018303807898,41.55914358394573,0.11247130833970925,0.19692778529809898,0.12006356306279795,0.0005408959409778,3.048001777177305
길마중4교 하부,2277,365,31.254794520547946,1.081609396914446,0.04032258064516129,0.125,3912.438234572233,31.136658485273493,39.8012570437798,0.16549789621318373,0.2134467040673212,0.09528401122019635,0.000590271511141,2.9895348992105086
구룡초사거리 (현대아파트10동 앞 ),2358,365,16.86849315068493,0.9200909533863895,0.04174110768231282,0.10768231281468248,2330.9939483514695,22.02939743381517,40.48750960799385,0.29023875263927235,0.197823615397109,0.1333441611174273,0.0009639884097133,2.9131958844349546
신세기아파트 앞,2820,364,22.38736263736264,1.0487176340655295,0.040127623021229596,0.10602527917535894,2106.1603055589644,18.92428518836667,36.802823456407076,0.35096330838139644,0.17192293532948827,0.16590992759847834,0.0012400435555291324,2.895254472215521
동작구민 체육센터,2056,365,35.09315068493151,0.9535482863611523,0.03669295026934187,0.09313763759856351,1814.8783535014418,17.10882972909673,37.980733374766935,0.26254976969318444,0.2192989304395347,0.11999375439144351,0.001015188445734015,2.8415351586379884
이태원역 3번 출구,4634,355,15.312676056338027,0.8037159676232524,0.0358719646799117,0.1569168506254599,3456.289495952906,29.175680647534953,35.05169029443839,0.049668874172185434,0.2213024282560706,0.09142752023546726,0.0004586674326427,3.0415661697144234
곰달래 문화복지센터 A,1141,365,46.52054794520548,1.1502355712603063,0.038633686690223795,0.12691401648998824,2947.152478798586,22.155064782096584,39.65912305516266,0.21060070671378095,0.20853945818610128,0.09593639575971731,0.0005215731064006,3.0236402343142377
봉화산역 4번 출구,4843,365,30.443835616438356,1.1724262059035278,0.032937365010799136,0.13372930165586752,2356.880738840892,19.088012958963283,37.451773490976976,0.10853131749460043,0.22516198704103674,0.08981281497480202,0.0005261235418661,3.008729616642364
양천 해누리타운,795,365,104.28219178082192,0.9890444788902609,0.044978062685547646,0.11861913143998108,1540.8234477051217,15.459947980978903,35.95090245955298,0.14631006489241521,0.23009221553739853,0.0977064340698316,0.0007303336015367,2.926393873110845
굽은다리역,1044,365,114.16712328767123,1.0396678745410477,0.033548510954860694,0.1310023757529217,2128.2378111876324,21.40243814643277,37.8730864879801,0.1517602169374385,0.21163399006503325,0.08535912265124428,0.0004720312753892,3.0264840321543134
일원에코파크 주차장,4917,365,33.90958904109589,1.1214349196089521,0.03870081602973257,0.10454875979639654,2296.2482612911,19.031348468934315,40.13328962158111,0.30879857800759475,0.13096873232608872,0.14316878080310252,0.0011245396448741737,2.8699613818318515
어린이대공원역 2번출구,3853,365,40.53150684931507,0.7208327700419089,0.03650128430444775,0.09733675814519399,1615.6802007570634,14.211437069082061,33.062591329761325,0.2681492496958226,0.17750439367311072,0.17256996079491685,0.0011893642622264433,2.8884224244031658
신방화사거리,1106,365,97.09041095890412,1.0436819233591061,0.038405101868051246,0.12407585078164682,1582.4183723686424,14.74030701506857,36.07467989542133,0.21586997008860545,0.19710480275410575,0.09413623793667814,0.0006574452474896,2.9646908635644666
월드컵경기장역 3번출구 옆,418,365,61.679452054794524,0.9674410340692045,0.019810775996091146,0.197130546795185,3666.1853244791896,30.50890596544219,38.79567269449011,0.0492604273086661,0.25589659307955404,0.10878159285746014,0.0010932050966860898,2.8308137199619963
동서울농협 앞,4804,365,43.73698630136986,1.0671510899523928,0.03019293410172889,0.11507141067401654,1603.015127161114,15.106426960661489,33.49104933779654,0.07886494612878978,0.2788774743172137,0.1014156852919068,0.000742151898622,2.9662845068584733
성북구청,1305,365,43.4986301369863,1.097877432764376,0.029224664609183094,0.12149650437740127,3356.5048963910044,26.91528626314795,37.34913252122554,0.15834225609372046,0.19355041884486993,0.0903193298482081,0.0004463284288689,3.0337302625704425
공릉동풍림아파트 101동,2901,365,44.24657534246575,1.016780185758514,0.044334365325077396,0.12780185758513932,1615.3535145510825,14.987863777089784,37.18122977346278,0.3529411764705882,0.12086687306501548,0.19201238390092878,0.001759931855529676,2.736630048455653
망우지구대,4813,365,50.323287671232876,1.0540614111498259,0.03212108013937282,0.12995426829268292,1825.5274504573176,16.91991506968641,36.26370038412292,0.1514590592334495,0.20034843205574915,0.07954050522648083,0.0004078422721272,3.0511632757969624
