"station_no","station_name","district_name","detail_address","latitude","longitude","install_period","lcd_rack_count","qr_rack_count","operation_type","source_file"
586,마장동 주민센터,성동구,서울특별시 성동구 마장로42길 14 마장동 주민센터,37.56594086,127.0453949,"2016-09-02 11:00:00",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
587,유니베라 앞,성동구,서울특별시 성동구 성수동2가 276-5 KEB하나은행 성수중앙지점,37.54541779,127.05264282,"2016-09-20 09:41:25",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
588,뚝섬 유원지역,광진구,서울특별시 광진구 능동로 10 뚝섬유원지역,37.53268814,127.06749725,"2016-12-09 09:54:51",,20.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
589,성수역3번출구,성동구,서울특별시 성동구 아차산로 100 성수동2가 315-105,37.54415894,127.05665588,"2017-04-19 16:04:19",8.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
590,건국대학교 (입학정보관),광진구,서울특별시 광진구 능동로 120 입학정보관,37.53989029,127.07336426,"2017-08-30 16:27:59",20.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
591,건국대학교 (행정관),광진구,서울특별시 광진구 능동로 120 행정관,37.54277802,127.07537079,"2017-08-30 16:29:21",5.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
592,건국대학교 학생회관,광진구,서울특별시 광진구 능동로 120 학생회관,37.54191208,127.07763672,"2017-08-30 16:30:22",30.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
593,자양중앙나들목,광진구,서울특별시 광진구 자양강변길 301 광진구 자양2동 705,37.52845383,127.07803345,"2017-10-18 11:17:05",,8.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
594,중랑물재생센터(서울새활용플라자),성동구,서울특별시 성동구 자동차시장길 49 중랑물재생센터,37.55830383,127.05805969,"2017-08-28 10:58:50",15.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
600,휘경2동 주민센터,동대문구,서울특별시 동대문구 한천로 329 휘경2동 주민센터,37.58991241,127.06867981,"2016-06-29 12:00:00",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
602,장안동 사거리,동대문구,서울특별시 동대문구 장한로 25길 2 장안동 사거리,37.57217407,127.07138824,"2016-06-29 12:00:00",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
605,신설동역8번출구,동대문구,서울특별시 동대문구 천호대로 26 신설동역9번출구,37.57419968,127.02649689,"2016-06-29 12:00:00",8.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
606,휘경공고앞,동대문구,서울특별시 동대문구 겸재로 21 휘경공고앞,37.58462524,127.07028961,"2016-06-29 12:00:00",15.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
607,신이문역 2번출구,동대문구,서울특별시 동대문구 이문동186-1 신이문역 2번출구,37.60271072,127.06786346,"2016-06-29 12:00:00",15.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
608,전농삼성아파트,동대문구,서울특별시 동대문구 전농로 192 전농삼성아파트,37.58131027,127.05534363,"2016-06-29 12:00:00",10.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
609,제기2교,동대문구,서울특별시 동대문구 제기동 122-388,37.58774567,127.03738403,"2016-06-29 12:00:00",30.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
610,동대문중 교차로,동대문구,서울특별시 동대문구 답십리동 524-1 동대문중 교차로,37.57308578,127.05216217,"2016-06-29 12:00:00",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
